GENE	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_names
CREBBP	BP	GO:0071214	cellular response to abiotic stimulus	May-29	339/18614	1.61E-04	0.003257009	0.001731188	1026/1387/2033/2885/7157	5	CDKN1A/CREBBP/EP300/GRB2/TP53
CREBBP	BP	GO:0104004	cellular response to environmental stimulus	May-29	339/18614	1.61E-04	0.003257009	0.001731188	1026/1387/2033/2885/7157	5	CDKN1A/CREBBP/EP300/GRB2/TP53
CREBBP	BP	GO:0045088	regulation of innate immune response	May-29	373/18614	2.51E-04	0.004314593	0.002293322	1387/2033/2099/2534/6714	5	CREBBP/EP300/ESR1/FYN/SRC
CREBBP	BP	GO:0006474	N-terminal protein amino acid acetylation	Feb-29	17/18614	3.14E-04	0.004863024	0.002584828	1387/2033	2	CREBBP/EP300
CREBBP	BP	GO:1900034	regulation of cellular response to heat	Feb-29	17/18614	3.14E-04	0.004863024	0.002584828	1387/2033	2	CREBBP/EP300
CREBBP	BP	GO:0031349	positive regulation of defense response	May-29	441/18614	5.42E-04	0.006631889	0.003525027	1387/2033/2099/2534/6714	5	CREBBP/EP300/ESR1/FYN/SRC
CREBBP	BP	GO:0009314	response to radiation	May-29	452/18614	6.06E-04	0.007094243	0.003770781	1026/1387/2033/2885/7157	5	CDKN1A/CREBBP/EP300/GRB2/TP53
CREBBP	BP	GO:0002831	regulation of response to biotic stimulus	May-29	463/18614	6.75E-04	0.00779709	0.004144362	1387/2033/2099/2534/6714	5	CREBBP/EP300/ESR1/FYN/SRC
CREBBP	BP	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	Mar-29	122/18614	8.86E-04	0.009064455	0.004818001	1387/2033/4087	3	CREBBP/EP300/SMAD2
CREBBP	BP	GO:0031365	N-terminal protein amino acid modification	Feb-29	30/18614	9.92E-04	0.009519221	0.005059721	1387/2033	2	CREBBP/EP300
CREBBP	BP	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	Feb-29	34/18614	0.001274773	0.011135312	0.005918717	1387/2033	2	CREBBP/EP300
CREBBP	BP	GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	Feb-29	34/18614	0.001274773	0.011135312	0.005918717	1387/2033	2	CREBBP/EP300
CREBBP	BP	GO:0009416	response to light stimulus	Apr-29	323/18614	0.001500559	0.0124354	0.006609749	1026/1387/2033/7157	4	CDKN1A/CREBBP/EP300/TP53
CREBBP	BP	GO:0051604	protein maturation	Apr-29	332/18614	0.00165965	0.013354479	0.007098264	552900/1387/2033/6714	4	BOLA2/CREBBP/EP300/SRC
CREBBP	BP	GO:0042733	embryonic digit morphogenesis	Feb-29	58/18614	0.003670231	0.022489469	0.011953756	1387/3065	2	CREBBP/HDAC1
CREBBP	BP	GO:0034605	cellular response to heat	Feb-29	67/18614	0.004866828	0.027213818	0.014464874	1387/2033	2	CREBBP/EP300
CREBBP	BP	GO:0016570	histone modification	Apr-29	475/18614	0.005996982	0.031161166	0.016562996	1387/2033/3065/7157	4	CREBBP/EP300/HDAC1/TP53
CREBBP	MF	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	Sep-32	348/18369	5.42E-09	9.45E-07	4.03E-07	367/1387/2033/2099/3065/4087/4088/6714/7157	9	AR/CREBBP/EP300/ESR1/HDAC1/SMAD2/SMAD3/SRC/TP53
CREBBP	MF	GO:0001223	transcription coactivator binding	May-32	43/18369	1.06E-08	9.45E-07	4.03E-07	367/1387/2033/2099/4088	5	AR/CREBBP/EP300/ESR1/SMAD3
CREBBP	MF	GO:0001221	transcription coregulator binding	Jun-32	111/18369	3.39E-08	2.01E-06	8.56E-07	367/1387/2033/2099/3065/4088	6	AR/CREBBP/EP300/ESR1/HDAC1/SMAD3
CREBBP	MF	GO:0140297	DNA-binding transcription factor binding	Sep-32	478/18369	8.36E-08	3.72E-06	1.58E-06	367/1387/2033/2099/3065/4087/4088/6714/7157	9	AR/CREBBP/EP300/ESR1/HDAC1/SMAD2/SMAD3/SRC/TP53
CREBBP	MF	GO:0002039	p53 binding	Apr-32	67/18369	5.38E-06	1.92E-04	8.16E-05	1387/2033/3065/7157	4	CREBBP/EP300/HDAC1/TP53
CREBBP	MF	GO:0031490	chromatin DNA binding	Apr-32	118/18369	5.06E-05	8.19E-04	3.49E-04	1387/2033/3065/4088	4	CREBBP/EP300/HDAC1/SMAD3
CREBBP	MF	GO:0016410	N-acyltransferase activity	Mar-32	93/18369	5.60E-04	0.004335707	0.001846073	79603/1387/2033	3	CERS4/CREBBP/EP300
CREBBP	MF	GO:0043425	bHLH transcription factor binding	Feb-32	31/18369	0.001324689	0.007145292	0.003042348	1387/4088	2	CREBBP/SMAD3
CREBBP	MF	GO:0004402	histone acetyltransferase activity	Feb-32	43/18369	0.002539157	0.010272045	0.004373668	1387/2033	2	CREBBP/EP300
CREBBP	MF	GO:0061733	peptide-lysine-N-acetyltransferase activity	Feb-32	46/18369	0.002900871	0.010757398	0.004580323	1387/2033	2	CREBBP/EP300
CREBBP	MF	GO:0034212	peptide N-acetyltransferase activity	Feb-32	51/18369	0.003554209	0.012404887	0.005281797	1387/2033	2	CREBBP/EP300
CREBBP	MF	GO:0008080	N-acetyltransferase activity	Feb-32	67/18369	0.006057486	0.019967267	0.008501734	1387/2033	2	CREBBP/EP300
CREBBP	MF	GO:0003684	damaged DNA binding	Feb-32	71/18369	0.00677875	0.0219385	0.009341053	1387/2033	2	CREBBP/EP300
CREBBP	MF	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	Mar-32	226/18369	0.007007449	0.022273676	0.009483765	79603/1387/2033	3	CERS4/CREBBP/EP300
CREBBP	MF	GO:0016746	acyltransferase activity	Mar-32	253/18369	0.009537861	0.029271365	0.012463266	79603/1387/2033	3	CERS4/CREBBP/EP300
CREBBP	MF	GO:0016407	acetyltransferase activity	Feb-32	94/18369	0.011630709	0.034504438	0.014691422	1387/2033	2	CREBBP/EP300
CREBBP	NA	hsa04110	Cell cycle	Sep-22	158/8848	5.99E-11	1.00E-08	3.72E-09	246184/1026/1387/2033/3065/4087/4088/7157/7532	9	CDC26/CDKN1A/CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53/YWHAG
CREBBP	NA	hsa05203	Viral carcinogenesis	Sep-22	205/8848	6.19E-10	5.17E-08	1.92E-08	1026/1387/2033/2885/3065/5594/6714/7157/7532	9	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/SRC/TP53/YWHAG
CREBBP	NA	hsa04520	Adherens junction	Jul-22	93/8848	1.69E-09	9.42E-08	3.50E-08	1387/1457/2033/2534/5594/4088/6714	7	CREBBP/CSNK2A1/EP300/FYN/MAPK1/SMAD3/SRC
CREBBP	NA	hsa05215	Prostate cancer	Jul-22	98/8848	2.45E-09	9.58E-08	3.56E-08	367/1026/1387/2033/2885/5594/7157	7	AR/CDKN1A/CREBBP/EP300/GRB2/MAPK1/TP53
CREBBP	NA	hsa05161	Hepatitis B	Aug-22	163/8848	2.87E-09	9.58E-08	3.56E-08	1026/1387/2033/2885/5594/4088/6714/7157	8	CDKN1A/CREBBP/EP300/GRB2/MAPK1/SMAD3/SRC/TP53
CREBBP	NA	hsa04919	Thyroid hormone signaling pathway	Jul-22	122/8848	1.15E-08	3.19E-07	1.19E-07	1387/2033/2099/3065/5594/6714/7157	7	CREBBP/EP300/ESR1/HDAC1/MAPK1/SRC/TP53
CREBBP	NA	hsa05166	Human T-cell leukemia virus 1 infection	Aug-22	223/8848	3.39E-08	7.07E-07	2.63E-07	246184/1026/1387/2033/5594/4087/4088/7157	8	CDC26/CDKN1A/CREBBP/EP300/MAPK1/SMAD2/SMAD3/TP53
CREBBP	NA	hsa04350	TGF-beta signaling pathway	Jun-22	108/8848	1.83E-07	2.78E-06	1.03E-06	1387/2033/3065/5594/4087/4088	6	CREBBP/EP300/HDAC1/MAPK1/SMAD2/SMAD3
CREBBP	NA	hsa04068	FoxO signaling pathway	Jun-22	133/8848	6.31E-07	7.59E-06	2.82E-06	1026/1387/2033/2885/5594/4088	6	CDKN1A/CREBBP/EP300/GRB2/MAPK1/SMAD3
CREBBP	NA	hsa05211	Renal cell carcinoma	May-22	70/8848	6.36E-07	7.59E-06	2.82E-06	1026/1387/2033/2885/5594	5	CDKN1A/CREBBP/EP300/GRB2/MAPK1
CREBBP	NA	hsa05167	Kaposi sarcoma-associated herpesvirus infection	Jun-22	196/8848	6.08E-06	5.34E-05	1.99E-05	1026/1387/2033/5594/6714/7157	6	CDKN1A/CREBBP/EP300/MAPK1/SRC/TP53
CREBBP	NA	hsa05206	MicroRNAs in cancer	Jul-22	312/8848	6.85E-06	5.72E-05	2.13E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
CREBBP	NA	hsa05165	Human papillomavirus infection	Jul-22	333/8848	1.05E-05	8.36E-05	3.11E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
CREBBP	NA	hsa04310	Wnt signaling pathway	May-22	174/8848	5.57E-05	3.10E-04	1.15E-04	1387/1457/2033/4088/7157	5	CREBBP/CSNK2A1/EP300/SMAD3/TP53
CREBBP	NA	hsa05016	Huntington disease	Jun-22	311/8848	8.32E-05	4.48E-04	1.67E-04	1387/2033/3065/4700/9821/7157	6	CREBBP/EP300/HDAC1/NDUFA6/RB1CC1/TP53
CREBBP	NA	hsa04066	HIF-1 signaling pathway	Apr-22	109/8848	1.34E-04	6.80E-04	2.53E-04	1026/1387/2033/5594	4	CDKN1A/CREBBP/EP300/MAPK1
CREBBP	NA	hsa04935	Growth hormone synthesis, secretion and action	Apr-22	122/8848	2.08E-04	9.37E-04	3.49E-04	1387/2033/2885/5594	4	CREBBP/EP300/GRB2/MAPK1
CREBBP	NA	hsa04330	Notch signaling pathway	Mar-22	62/8848	4.59E-04	0.001824653	6.79E-04	1387/2033/3065	3	CREBBP/EP300/HDAC1
CREBBP	NA	hsa04720	Long-term potentiation	Mar-22	67/8848	5.77E-04	0.002239357	8.33E-04	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa04630	JAK-STAT signaling pathway	Apr-22	168/8848	7.02E-04	0.002605905	9.69E-04	1026/1387/2033/2885	4	CDKN1A/CREBBP/EP300/GRB2
CREBBP	NA	hsa05152	Tuberculosis	Apr-22	180/8848	9.10E-04	0.003164503	0.00117684	1387/2033/5594/6714	4	CREBBP/EP300/MAPK1/SRC
CREBBP	NA	hsa03083	Polycomb repressive complex	Mar-22	83/8848	0.001077785	0.0035998	0.001338722	1387/2033/3065	3	CREBBP/EP300/HDAC1
CREBBP	NA	hsa04916	Melanogenesis	Mar-22	101/8848	0.001899021	0.005663152	0.002106057	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa05164	Influenza A	Mar-22	172/8848	0.008471789	0.020211268	0.007516324	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa03250	Viral life cycle - HIV-1	Feb-22	64/8848	0.010839453	0.024135849	0.008975828	1387/2033	2	CREBBP/EP300
CREBBP	NA	hsa04024	cAMP signaling pathway	Mar-22	226/8848	0.017697314	0.033584675	0.012489731	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa04922	Glucagon signaling pathway	Feb-22	107/8848	0.028593175	0.048725104	0.018120272	1387/2033	2	CREBBP/EP300
CREBBP	NA	hsa04110	Cell cycle	Sep-22	158/8848	5.99E-11	1.00E-08	3.72E-09	246184/1026/1387/2033/3065/4087/4088/7157/7532	9	CDC26/CDKN1A/CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53/YWHAG
CREBBP	NA	hsa05203	Viral carcinogenesis	Sep-22	205/8848	6.19E-10	5.17E-08	1.92E-08	1026/1387/2033/2885/3065/5594/6714/7157/7532	9	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/SRC/TP53/YWHAG
CREBBP	NA	hsa04520	Adherens junction	Jul-22	93/8848	1.69E-09	9.42E-08	3.50E-08	1387/1457/2033/2534/5594/4088/6714	7	CREBBP/CSNK2A1/EP300/FYN/MAPK1/SMAD3/SRC
CREBBP	NA	hsa05215	Prostate cancer	Jul-22	98/8848	2.45E-09	9.58E-08	3.56E-08	367/1026/1387/2033/2885/5594/7157	7	AR/CDKN1A/CREBBP/EP300/GRB2/MAPK1/TP53
CREBBP	NA	hsa05161	Hepatitis B	Aug-22	163/8848	2.87E-09	9.58E-08	3.56E-08	1026/1387/2033/2885/5594/4088/6714/7157	8	CDKN1A/CREBBP/EP300/GRB2/MAPK1/SMAD3/SRC/TP53
CREBBP	NA	hsa04919	Thyroid hormone signaling pathway	Jul-22	122/8848	1.15E-08	3.19E-07	1.19E-07	1387/2033/2099/3065/5594/6714/7157	7	CREBBP/EP300/ESR1/HDAC1/MAPK1/SRC/TP53
CREBBP	NA	hsa05166	Human T-cell leukemia virus 1 infection	Aug-22	223/8848	3.39E-08	7.07E-07	2.63E-07	246184/1026/1387/2033/5594/4087/4088/7157	8	CDC26/CDKN1A/CREBBP/EP300/MAPK1/SMAD2/SMAD3/TP53
CREBBP	NA	hsa04350	TGF-beta signaling pathway	Jun-22	108/8848	1.83E-07	2.78E-06	1.03E-06	1387/2033/3065/5594/4087/4088	6	CREBBP/EP300/HDAC1/MAPK1/SMAD2/SMAD3
CREBBP	NA	hsa04068	FoxO signaling pathway	Jun-22	133/8848	6.31E-07	7.59E-06	2.82E-06	1026/1387/2033/2885/5594/4088	6	CDKN1A/CREBBP/EP300/GRB2/MAPK1/SMAD3
CREBBP	NA	hsa05211	Renal cell carcinoma	May-22	70/8848	6.36E-07	7.59E-06	2.82E-06	1026/1387/2033/2885/5594	5	CDKN1A/CREBBP/EP300/GRB2/MAPK1
CREBBP	NA	hsa05167	Kaposi sarcoma-associated herpesvirus infection	Jun-22	196/8848	6.08E-06	5.34E-05	1.99E-05	1026/1387/2033/5594/6714/7157	6	CDKN1A/CREBBP/EP300/MAPK1/SRC/TP53
CREBBP	NA	hsa05206	MicroRNAs in cancer	Jul-22	312/8848	6.85E-06	5.72E-05	2.13E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
CREBBP	NA	hsa05165	Human papillomavirus infection	Jul-22	333/8848	1.05E-05	8.36E-05	3.11E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
CREBBP	NA	hsa04310	Wnt signaling pathway	May-22	174/8848	5.57E-05	3.10E-04	1.15E-04	1387/1457/2033/4088/7157	5	CREBBP/CSNK2A1/EP300/SMAD3/TP53
CREBBP	NA	hsa05016	Huntington disease	Jun-22	311/8848	8.32E-05	4.48E-04	1.67E-04	1387/2033/3065/4700/9821/7157	6	CREBBP/EP300/HDAC1/NDUFA6/RB1CC1/TP53
CREBBP	NA	hsa04066	HIF-1 signaling pathway	Apr-22	109/8848	1.34E-04	6.80E-04	2.53E-04	1026/1387/2033/5594	4	CDKN1A/CREBBP/EP300/MAPK1
CREBBP	NA	hsa04935	Growth hormone synthesis, secretion and action	Apr-22	122/8848	2.08E-04	9.37E-04	3.49E-04	1387/2033/2885/5594	4	CREBBP/EP300/GRB2/MAPK1
CREBBP	NA	hsa04330	Notch signaling pathway	Mar-22	62/8848	4.59E-04	0.001824653	6.79E-04	1387/2033/3065	3	CREBBP/EP300/HDAC1
CREBBP	NA	hsa04720	Long-term potentiation	Mar-22	67/8848	5.77E-04	0.002239357	8.33E-04	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa04630	JAK-STAT signaling pathway	Apr-22	168/8848	7.02E-04	0.002605905	9.69E-04	1026/1387/2033/2885	4	CDKN1A/CREBBP/EP300/GRB2
CREBBP	NA	hsa05152	Tuberculosis	Apr-22	180/8848	9.10E-04	0.003164503	0.00117684	1387/2033/5594/6714	4	CREBBP/EP300/MAPK1/SRC
CREBBP	NA	hsa03083	Polycomb repressive complex	Mar-22	83/8848	0.001077785	0.0035998	0.001338722	1387/2033/3065	3	CREBBP/EP300/HDAC1
CREBBP	NA	hsa04916	Melanogenesis	Mar-22	101/8848	0.001899021	0.005663152	0.002106057	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa05164	Influenza A	Mar-22	172/8848	0.008471789	0.020211268	0.007516324	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa03250	Viral life cycle - HIV-1	Feb-22	64/8848	0.010839453	0.024135849	0.008975828	1387/2033	2	CREBBP/EP300
CREBBP	NA	hsa04024	cAMP signaling pathway	Mar-22	226/8848	0.017697314	0.033584675	0.012489731	1387/2033/5594	3	CREBBP/EP300/MAPK1
CREBBP	NA	hsa04922	Glucagon signaling pathway	Feb-22	107/8848	0.028593175	0.048725104	0.018120272	1387/2033	2	CREBBP/EP300
CSNK2A1	BP	GO:0048511	rhythmic process	Jul-29	303/18614	3.24E-07	4.37E-05	2.32E-05	1387/1457/2033/2099/3065/6714/7157	7	CREBBP/CSNK2A1/EP300/ESR1/HDAC1/SRC/TP53
CSNK2A1	BP	GO:2001233	regulation of apoptotic signaling pathway	Jul-29	381/18614	1.51E-06	1.52E-04	8.09E-05	367/1457/1984/3065/9821/6714/7157	7	AR/CSNK2A1/EIF5A/HDAC1/RB1CC1/SRC/TP53
CSNK2A1	BP	GO:2001234	negative regulation of apoptotic signaling pathway	May-29	233/18614	2.74E-05	9.82E-04	5.22E-04	367/1457/3065/9821/6714	5	AR/CSNK2A1/HDAC1/RB1CC1/SRC
CSNK2A1	BP	GO:0052548	regulation of endopeptidase activity	May-29	336/18614	1.55E-04	0.003246445	0.001725573	1457/2534/3065/4088/6714	5	CSNK2A1/FYN/HDAC1/SMAD3/SRC
CSNK2A1	BP	GO:0001558	regulation of cell growth	May-29	420/18614	4.34E-04	0.005893251	0.003132421	978/1026/1457/4088/7157	5	CDA/CDKN1A/CSNK2A1/SMAD3/TP53
CSNK2A1	BP	GO:2000116	regulation of cysteine-type endopeptidase activity	Apr-29	234/18614	4.52E-04	0.005981729	0.003179449	1457/2534/4088/6714	4	CSNK2A1/FYN/SMAD3/SRC
CSNK2A1	BP	GO:0052547	regulation of peptidase activity	May-29	425/18614	4.58E-04	0.006014484	0.00319686	1457/2534/3065/4088/6714	5	CSNK2A1/FYN/HDAC1/SMAD3/SRC
CSNK2A1	BP	GO:0016049	cell growth	May-29	495/18614	9.13E-04	0.00907924	0.00482586	978/1026/1457/4088/7157	5	CDA/CDKN1A/CSNK2A1/SMAD3/TP53
CSNK2A1	BP	GO:0030177	positive regulation of Wnt signaling pathway	Mar-29	146/18614	0.001487403	0.012389914	0.006585572	1457/4088/6714	3	CSNK2A1/SMAD3/SRC
CSNK2A1	BP	GO:0009895	negative regulation of catabolic process	Apr-29	337/18614	0.001752946	0.013818341	0.007344819	1457/2534/4088/7157	4	CSNK2A1/FYN/SMAD3/TP53
CSNK2A1	BP	GO:0030111	regulation of Wnt signaling pathway	Apr-29	338/18614	0.001772034	0.013901007	0.007388758	1457/3065/4088/6714	4	CSNK2A1/HDAC1/SMAD3/SRC
CSNK2A1	BP	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	Mar-29	204/18614	0.003841933	0.023340465	0.012406084	1457/4088/6714	3	CSNK2A1/SMAD3/SRC
CSNK2A1	BP	GO:0016055	Wnt signaling pathway	Apr-29	461/18614	0.00539908	0.029083044	0.015458418	1457/3065/4088/6714	4	CSNK2A1/HDAC1/SMAD3/SRC
CSNK2A1	BP	GO:0198738	cell-cell signaling by wnt	Apr-29	463/18614	0.005481916	0.029431148	0.015643445	1457/3065/4088/6714	4	CSNK2A1/HDAC1/SMAD3/SRC
CSNK2A1	BP	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	Feb-29	78/18614	0.006540588	0.032839994	0.017455338	1457/6714	2	CSNK2A1/SRC
CSNK2A1	BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity	Feb-29	91/18614	0.008808247	0.040437862	0.021493809	1457/6714	2	CSNK2A1/SRC
CSNK2A1	CC	GO:0016581	NuRD complex	Feb-30	17/19518	3.06E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
CSNK2A1	CC	GO:0090545	CHD-type complex	Feb-30	17/19518	3.06E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
CSNK2A1	CC	GO:0016580	Sin3 complex	Feb-30	22/19518	5.18E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
CSNK2A1	CC	GO:0070822	Sin3-type complex	Feb-30	22/19518	5.18E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
CSNK2A1	CC	GO:1902554	serine/threonine protein kinase complex	Mar-30	121/19518	8.35E-04	0.019706033	0.012656864	1026/1457/9821	3	CDKN1A/CSNK2A1/RB1CC1
CSNK2A1	CC	GO:1902911	protein kinase complex	Mar-30	142/19518	0.001325491	0.026067996	0.016743049	1026/1457/9821	3	CDKN1A/CSNK2A1/RB1CC1
CSNK2A1	NA	hsa04520	Adherens junction	Jul-22	93/8848	1.69E-09	9.42E-08	3.50E-08	1387/1457/2033/2534/5594/4088/6714	7	CREBBP/CSNK2A1/EP300/FYN/MAPK1/SMAD3/SRC
CSNK2A1	NA	hsa04310	Wnt signaling pathway	May-22	174/8848	5.57E-05	3.10E-04	1.15E-04	1387/1457/2033/4088/7157	5	CREBBP/CSNK2A1/EP300/SMAD3/TP53
CSNK2A1	NA	hsa04137	Mitophagy - animal	Mar-22	105/8848	0.002122452	0.006111198	0.00227268	1457/6714/7157	3	CSNK2A1/SRC/TP53
CSNK2A1	NA	hsa05020	Prion disease	Apr-22	278/8848	0.004460533	0.011639204	0.004328478	1457/2534/5594/4700	4	CSNK2A1/FYN/MAPK1/NDUFA6
CSNK2A1	NA	hsa05010	Alzheimer disease	Apr-22	391/8848	0.014593725	0.02849994	0.01059878	1457/5594/4700/9821	4	CSNK2A1/MAPK1/NDUFA6/RB1CC1
CSNK2A1	NA	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	Feb-22	90/8848	0.02071212	0.038432488	0.014292574	1457/5594	2	CSNK2A1/MAPK1
CSNK2A1	NA	hsa05022	Pathways of neurodegeneration - multiple diseases	Apr-22	483/8848	0.0293051	0.049433855	0.018383848	1457/5594/4700/9821	4	CSNK2A1/MAPK1/NDUFA6/RB1CC1
CSNK2A1	NA	hsa04520	Adherens junction	Jul-22	93/8848	1.69E-09	9.42E-08	3.50E-08	1387/1457/2033/2534/5594/4088/6714	7	CREBBP/CSNK2A1/EP300/FYN/MAPK1/SMAD3/SRC
CSNK2A1	NA	hsa04310	Wnt signaling pathway	May-22	174/8848	5.57E-05	3.10E-04	1.15E-04	1387/1457/2033/4088/7157	5	CREBBP/CSNK2A1/EP300/SMAD3/TP53
CSNK2A1	NA	hsa04137	Mitophagy - animal	Mar-22	105/8848	0.002122452	0.006111198	0.00227268	1457/6714/7157	3	CSNK2A1/SRC/TP53
CSNK2A1	NA	hsa05020	Prion disease	Apr-22	278/8848	0.004460533	0.011639204	0.004328478	1457/2534/5594/4700	4	CSNK2A1/FYN/MAPK1/NDUFA6
CSNK2A1	NA	hsa05010	Alzheimer disease	Apr-22	391/8848	0.014593725	0.02849994	0.01059878	1457/5594/4700/9821	4	CSNK2A1/MAPK1/NDUFA6/RB1CC1
CSNK2A1	NA	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	Feb-22	90/8848	0.02071212	0.038432488	0.014292574	1457/5594	2	CSNK2A1/MAPK1
CSNK2A1	NA	hsa05022	Pathways of neurodegeneration - multiple diseases	Apr-22	483/8848	0.0293051	0.049433855	0.018383848	1457/5594/4700/9821	4	CSNK2A1/MAPK1/NDUFA6/RB1CC1
EIF5A	BP	GO:2001233	regulation of apoptotic signaling pathway	Jul-29	381/18614	1.51E-06	1.52E-04	8.09E-05	367/1457/1984/3065/9821/6714/7157	7	AR/CSNK2A1/EIF5A/HDAC1/RB1CC1/SRC/TP53
EIF5A	BP	GO:0097193	intrinsic apoptotic signaling pathway	Jun-29	301/18614	5.91E-06	3.67E-04	1.95E-04	1026/1984/2033/3065/6714/7157	6	CDKN1A/EIF5A/EP300/HDAC1/SRC/TP53
EIF5A	BP	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	Apr-29	83/18614	8.02E-06	4.18E-04	2.22E-04	1026/1984/2033/7157	4	CDKN1A/EIF5A/EP300/TP53
EIF5A	BP	GO:0072331	signal transduction by p53 class mediator	Apr-29	173/18614	1.43E-04	0.003117301	0.001656929	1026/1984/2033/7157	4	CDKN1A/EIF5A/EP300/TP53
EIF5A	BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	Apr-29	173/18614	1.43E-04	0.003117301	0.001656929	1984/3065/6714/7157	4	EIF5A/HDAC1/SRC/TP53
EIF5A	BP	GO:1901796	regulation of signal transduction by p53 class mediator	Mar-29	106/18614	5.89E-04	0.007049017	0.003746742	1984/2033/7157	3	EIF5A/EP300/TP53
EIF5A	BP	GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator	Feb-29	35/18614	0.001350728	0.011549078	0.006138645	1984/7157	2	EIF5A/TP53
EIF5A	BP	GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	Feb-29	63/18614	0.004315506	0.0249306	0.013251283	1984/7157	2	EIF5A/TP53
EIF5A	BP	GO:0071356	cellular response to tumor necrosis factor	Mar-29	235/18614	0.00569757	0.029893744	0.015889327	1984/5594/7157	3	EIF5A/MAPK1/TP53
EIF5A	BP	GO:0034612	response to tumor necrosis factor	Mar-29	257/18614	0.007291568	0.035266347	0.01874501	1984/5594/7157	3	EIF5A/MAPK1/TP53
EIF5A	BP	GO:0098586	cellular response to virus	Feb-29	85/18614	0.007723378	0.036281916	0.019284812	1984/4088	2	EIF5A/SMAD3
EP300	BP	GO:0071560	cellular response to transforming growth factor beta stimulus	Aug-29	274/18614	6.54E-09	6.26E-06	3.33E-06	1387/2033/2534/3065/4087/4088/6714/7157	8	CREBBP/EP300/FYN/HDAC1/SMAD2/SMAD3/SRC/TP53
EP300	BP	GO:0071559	response to transforming growth factor beta	Aug-29	280/18614	7.74E-09	6.26E-06	3.33E-06	1387/2033/2534/3065/4087/4088/6714/7157	8	CREBBP/EP300/FYN/HDAC1/SMAD2/SMAD3/SRC/TP53
EP300	BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	Apr-29	22/18614	3.41E-08	9.27E-06	4.93E-06	1387/2033/2534/6714	4	CREBBP/EP300/FYN/SRC
EP300	BP	GO:1990840	response to lectin	Apr-29	22/18614	3.41E-08	9.27E-06	4.93E-06	1387/2033/2534/6714	4	CREBBP/EP300/FYN/SRC
EP300	BP	GO:1990858	cellular response to lectin	Apr-29	22/18614	3.41E-08	9.27E-06	4.93E-06	1387/2033/2534/6714	4	CREBBP/EP300/FYN/SRC
EP300	BP	GO:0007179	transforming growth factor beta receptor signaling pathway	Jul-29	218/18614	3.44E-08	9.27E-06	4.93E-06	1387/2033/3065/4087/4088/6714/7157	7	CREBBP/EP300/HDAC1/SMAD2/SMAD3/SRC/TP53
EP300	BP	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	Jun-29	148/18614	9.32E-08	2.12E-05	1.13E-05	1387/2033/3065/4087/4088/7157	6	CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53
